id,name
0,drink water
1,eat meal/snack
2,brushing teeth
3,drop
4,throw
5,sitting down
6,standing up (from sitting position)
7,reading
8,writing
9,wear jacket
10,take off jacket
11,take off a shoe
12,wear on glasses
13,take off glasses
14,put on a hat/cap
15,take off a hat/cap
16,cheer up
17,hand waving
18,kicking something
19,put something inside pocket / take out something from pocket
20,hopping (one foot jumping)
21,jump up
22,make a phone call/answer phone
23,playing with phone/tablet
24,typing on a keyboard
25,pointing to something with finger
26,taking a selfie
27,check time (from watch)
28,rub two hands together
29,nod head/bow
30,shake head
31,wipe face
32,salute
33,put the palms together
34,cross hands in front (say stop)
35,staggering
36,touch head
37,touch chest (stomachache/heart pain)
38,touch back (backache)
39,touch neck (neckache)
40,use a fan (with hand or paper)/feeling warm
41,punching/slapping other person
42,kicking other person
43,pat on back of other person
44,point finger at the other person
45,hugging other person
46,giving something to other person
47,handshaking
